date_time,true_positives,false_positives,true_negatives,false_negatives,precision,recall,f1,defined,duration
2025-04-26-15:07:09,82642,1950,1348356,176,0.9769,0.9979,0.9873,1433124,23.242
2025-04-26-15:07:33,72695,1669,1400986,49,0.9776,0.9993,0.9883,1475399,22.93
2025-04-26-15:07:57,78121,1301,1458804,151,0.9836,0.9981,0.9908,1538377,22.805
2025-04-26-15:08:21,58188,1218,1366099,39,0.9795,0.9993,0.9893,1425544,23.002
2025-04-26-15:08:45,65142,1371,1320465,149,0.9794,0.9977,0.9885,1387127,22.732
2025-04-26-15:09:10,81202,1017,1462689,32,0.9876,0.9996,0.9936,1544940,23.008
2025-04-26-15:09:34,63123,2568,1412326,119,0.9609,0.9981,0.9792,1478136,22.985
2025-04-26-15:09:58,75582,1222,1424346,91,0.9841,0.9988,0.9914,1501241,22.98
2025-04-26-15:10:22,75695,1073,1277802,142,0.986,0.9981,0.992,1354712,22.863
2025-04-26-15:10:46,67635,1353,1373485,86,0.9804,0.9987,0.9895,1442559,22.839
2025-04-26-15:11:10,81397,991,1694236,92,0.988,0.9989,0.9934,1776716,22.833
2025-04-26-15:11:34,51629,1310,1347561,129,0.9753,0.9975,0.9863,1400629,22.734
2025-04-26-15:11:58,85992,1547,1366191,40,0.9823,0.9995,0.9909,1453770,23.015
2025-04-26-15:12:23,50976,1737,1210040,66,0.967,0.9987,0.9826,1262819,23.011
2025-04-26-15:12:47,69804,1025,1369121,73,0.9855,0.999,0.9922,1440023,22.842
2025-04-26-15:13:11,82793,1841,1501053,156,0.9782,0.9981,0.9881,1585843,22.833
2025-04-26-15:13:35,78491,1248,1397321,82,0.9843,0.999,0.9916,1477142,23.053
2025-04-26-15:13:59,72186,1493,1181798,79,0.9797,0.9989,0.9892,1255556,22.831
2025-04-26-15:14:23,69199,1780,1534528,69,0.9749,0.999,0.9868,1605576,22.904
2025-04-26-15:14:48,62186,1224,1295589,193,0.9807,0.9969,0.9887,1359192,23.553
2025-04-26-15:15:12,71053,1353,1229813,143,0.9813,0.998,0.9896,1302362,23.016
2025-04-26-15:15:36,86584,917,1304637,70,0.9895,0.9992,0.9943,1392208,22.887
2025-04-26-15:16:00,62884,827,1213366,64,0.987,0.999,0.993,1277141,22.867
2025-04-26-15:16:24,62967,968,1086232,50,0.9849,0.9992,0.992,1150217,22.799
2025-04-26-15:16:49,86877,982,1114809,92,0.9888,0.9989,0.9939,1202760,23.109
2025-04-26-15:17:13,66769,1091,1384100,78,0.9839,0.9988,0.9913,1452038,22.972
2025-04-26-15:17:38,69680,1214,1198489,104,0.9829,0.9985,0.9906,1269487,22.76
2025-04-26-15:18:02,59908,1327,1224679,39,0.9783,0.9993,0.9887,1285953,22.873
2025-04-26-15:18:26,63358,694,1307785,213,0.9892,0.9966,0.9929,1372050,22.596
2025-04-26-15:18:50,65989,1457,1238393,156,0.9784,0.9976,0.9879,1305995,22.492
2025-04-26-15:19:15,83533,1600,1185071,119,0.9812,0.9986,0.9898,1270323,22.813
2025-04-26-15:19:39,52543,856,1206475,68,0.984,0.9987,0.9913,1259942,23.056
2025-04-26-15:20:04,62781,1716,1564507,183,0.9734,0.9971,0.9851,1629187,23.361
